,FEvals,Fitness,Iteration,Temperature,Time,max_iters
0,0.0,0.0,0,10,0.00011312699999987963,64
1,2.0,0.0,1,10,0.005964461999999893,64
2,4.0,0.0,2,10,0.010402390999999955,64
3,6.0,132.0,3,10,0.01475979999999999,64
4,7.0,132.0,4,10,0.01483069700000006,64
5,8.0,132.0,5,10,0.019446845999999907,64
6,9.0,132.0,6,10,0.01952369999999992,64
7,10.0,132.0,7,10,0.019588731999999887,64
8,11.0,132.0,8,10,0.019650798000000025,64
9,12.0,132.0,9,10,0.025302225999999983,64
10,13.0,132.0,10,10,0.025379880999999882,64
11,14.0,132.0,11,10,0.025446772000000006,64
12,15.0,132.0,12,10,0.025507817000000044,64
13,16.0,132.0,13,10,0.025567984000000044,64
14,17.0,132.0,14,10,0.02562803800000002,64
15,18.0,132.0,15,10,0.025692722000000057,64
16,19.0,132.0,16,10,0.02575229000000001,64
17,20.0,132.0,17,10,0.030251389000000017,64
18,21.0,132.0,18,10,0.030322855999999954,64
19,23.0,119.0,19,10,0.030417479000000025,64
20,25.0,129.0,20,10,0.030502943999999976,64
21,26.0,129.0,21,10,0.03056219700000007,64
22,27.0,129.0,22,10,0.030621999999999927,64
23,28.0,129.0,23,10,0.030682316000000043,64
24,29.0,129.0,24,10,0.030745758999999984,64
25,30.0,129.0,25,10,0.03080677899999995,64
26,32.0,119.0,26,10,0.030895732000000065,64
27,33.0,119.0,27,10,0.03095930400000002,64
28,35.0,132.0,28,10,0.03104425299999991,64
29,36.0,132.0,29,10,0.031108350000000007,64
30,37.0,132.0,30,10,0.03117069199999989,64
31,38.0,132.0,31,10,0.031236599999999948,64
32,39.0,132.0,32,10,0.031302734000000054,64
33,40.0,132.0,33,10,0.03660469700000002,64
34,41.0,132.0,34,10,0.03669255199999988,64
35,42.0,132.0,35,10,0.03676634000000001,64
36,43.0,132.0,36,10,0.036835396999999936,64
37,44.0,132.0,37,10,0.03690593200000003,64
38,45.0,132.0,38,10,0.03699317499999988,64
39,46.0,132.0,39,10,0.03706347500000007,64
40,47.0,132.0,40,10,0.037137226999999884,64
41,49.0,103.0,41,10,0.037241539000000046,64
42,50.0,103.0,42,10,0.03731714599999991,64
43,51.0,103.0,43,10,0.03739442999999998,64
44,52.0,103.0,44,10,0.037470056000000085,64
45,54.0,82.0,45,10,0.03757634100000007,64
46,56.0,110.0,46,10,0.037691847000000056,64
47,58.0,120.0,47,10,0.037792464999999886,64
48,59.0,120.0,48,10,0.03787451900000005,64
49,60.0,120.0,49,10,0.037949275999999976,64
50,61.0,120.0,50,10,0.038020229000000016,64
51,63.0,110.0,51,10,0.0381190629999999,64
52,65.0,139.0,52,10,0.03821453200000002,64
53,66.0,139.0,53,10,0.03828791300000001,64
54,67.0,139.0,54,10,0.03836159899999991,64
55,68.0,139.0,55,10,0.038433715000000035,64
56,69.0,139.0,56,10,0.038508498999999974,64
57,70.0,139.0,57,10,0.038583158000000006,64
58,71.0,139.0,58,10,0.03865835299999998,64
59,72.0,139.0,59,10,0.03873265899999989,64
60,73.0,139.0,60,10,0.03880560200000005,64
61,74.0,139.0,61,10,0.03887827299999991,64
62,75.0,139.0,62,10,0.038951624999999934,64
63,76.0,139.0,63,10,0.03902891500000005,64
64,77.0,139.0,64,10,0.039106641999999914,64
